TIMESTAMP, STREAM ID, MODE, DATA SIZE (bytes), DATA GENERATED AT, PROXY CACHE, LATENCY (ms)
2017-12-14T11:49:35.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:33.809Z, HIT, 1276
2017-12-14T11:49:37.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:36.812Z, EXPIRED, 369
2017-12-14T11:49:40.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:39.816Z, HIT, 267
2017-12-14T11:49:43.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:42.820Z, HIT, 280
2017-12-14T11:49:46.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:45.821Z, HIT, 360
2017-12-14T11:49:49.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:48.823Z, HIT, 270
2017-12-14T11:49:52.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:51.826Z, EXPIRED, 485
2017-12-14T11:49:55.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:54.830Z, HIT, 372
2017-12-14T11:49:58.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:49:57.833Z, HIT, 331
2017-12-14T11:50:01.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:00.836Z, HIT, 576
2017-12-14T11:50:04.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:03.840Z, EXPIRED, 653
2017-12-14T11:50:07.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:06.844Z, HIT, 256
2017-12-14T11:50:10.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:09.847Z, EXPIRED, 478
2017-12-14T11:50:13.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:12.851Z, HIT, 296
2017-12-14T11:50:16.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:15.854Z, HIT, 227
2017-12-14T11:50:19.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:18.858Z, EXPIRED, 300
2017-12-14T11:50:22.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:21.862Z, HIT, 170
2017-12-14T11:50:25.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:24.865Z, HIT, 232
2017-12-14T11:50:28.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:27.869Z, HIT, 297
2017-12-14T11:50:31.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:30.873Z, HIT, 211
2017-12-14T11:50:34.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:33.877Z, HIT, 423
2017-12-14T11:50:37.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:36.881Z, EXPIRED, 487
2017-12-14T11:50:40.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:39.883Z, HIT, 145
2017-12-14T11:50:43.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:42.887Z, HIT, 263
2017-12-14T11:50:46.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:45.891Z, EXPIRED, 310
2017-12-14T11:50:49.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:48.894Z, HIT, 206
2017-12-14T11:50:52.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:51.898Z, HIT, 120
2017-12-14T11:50:55.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:54.901Z, EXPIRED, 306
2017-12-14T11:50:58.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:50:57.905Z, EXPIRED, 373
2017-12-14T11:51:01.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:51:00.909Z, EXPIRED, 236
2017-12-14T11:51:04.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:51:03.913Z, EXPIRED, 290
2017-12-14T11:51:07.000Z, http://192.168.43.120/stream/poll, HTTP, 1343, 2017-12-14T11:51:06.916Z, EXPIRED, 749
